Train_id,Train_name,Train_no,Source,Destination,Date,Distance(Km),Scheduled_arrival,Act_arr_time,Delay_min,Season,Run_frequency,Delay_minutes,Year,Month,Distance_bucket
G6,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2021-02-01,1754,10:00:00,10:10:00,00:10:00,Winter,Weekly,10.0,2021,2,1500-2000km
G7,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2022-01-01,1754,10:00:00,12:00:00,02:00:00,Winter,Weekly,120.0,2022,1,1500-2000km
G8,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2023-07-01,1754,10:00:00,11:00:00,01:00:00,Winter,Weekly,60.0,2023,7,1500-2000km
G9,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2024-06-01,1754,10:00:00,10:35:00,00:35:00,Winter,Weekly,35.0,2024,6,1500-2000km
G10,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,2025-04-01,1754,10:00:00,11:15:00,01:15:00,Winter,Weekly,75.0,2025,4,1500-2000km
R1,Rajdhani Express ,12301,Howrah, New Delhi,2016-01-01,1450,10:00:00,10:20:00,00:20:00,Winter,Daily,20.0,2016,1,1000-1500km
R2,Rajdhani Express ,12301,Howrah, New Delhi,2017-01-01,1450,10:00:00,10:40:00,00:40:00,Winter,Daily,40.0,2017,1,1000-1500km
R3,Rajdhani Express ,12301,Howrah, New Delhi,2018-01-01,1450,10:00:00,11:10:00,01:10:00,Winter,Daily,70.0,2018,1,1000-1500km
R4,Rajdhani Express ,12301,Howrah, New Delhi,2019-01-01,1450,10:00:00,10:05:00,00:05:00,Winter,Daily,5.0,2019,1,1000-1500km
R5,Rajdhani Express ,12301,Howrah, New Delhi,2020-01-01,1450,10:00:00,10:30:00,00:30:00,Winter,Daily,30.0,2020,1,1000-1500km
R6,Rajdhani Express ,12301,Howrah, New Delhi,2021-01-01,1450,10:00:00,10:50:00,00:50:00,Winter,Daily,50.0,2021,1,1000-1500km
R7,Rajdhani Express ,12301,Howrah, New Delhi,2022-01-01,1450,10:00:00,11:15:00,01:15:00,Winter,Daily,75.0,2022,1,1000-1500km
R8,Rajdhani Express ,12301,Howrah, New Delhi,2023-01-01,1450,10:00:00,10:10:00,00:10:00,Winter,Daily,10.0,2023,1,1000-1500km
R9,Rajdhani Express ,12301,Howrah, New Delhi,2024-01-01,1450,10:00:00,11:00:00,01:00:00,Winter,Daily,60.0,2024,1,1000-1500km
R10,Rajdhani Express ,12301,Howrah, New Delhi,2025-01-01,1450,10:00:00,10:25:00,00:25:00,Winter,Daily,25.0,2025,1,1000-1500km
 C1,Chennai Express,12604,Mumbai,Chennai ,2016-01-01,1284,09:00:00,09:20:00,00:20:00,Winter,Daily,20.0,2016,1,1000-1500km
 C2,Chennai Express,12604,Mumbai,Chennai ,2017-01-01,1284,09:00:00,09:45:00,00:45:00,Winter,Daily,45.0,2017,1,1000-1500km
 C3,Chennai Express,12604,Mumbai,Chennai ,2018-01-01,1284,09:00:00,09:10:00,00:10:00,Winter,Daily,10.0,2018,1,1000-1500km
 C4,Chennai Express,12604,Mumbai,Chennai ,2019-01-01,1284,09:00:00,09:25:00,00:25:00,Winter,Daily,25.0,2019,1,1000-1500km
 C5,Chennai Express,12604,Mumbai,Chennai ,2020-01-01,1284,09:00:00,09:50:00,00:50:00,Winter,Daily,50.0,2020,1,1000-1500km
 C6,Chennai Express,12604,Mumbai,Chennai ,2021-01-01,1284,09:00:00,09:30:00,00:30:00,Winter,Daily,30.0,2021,1,1000-1500km
 C7,Chennai Express,12604,Mumbai,Chennai ,2022-01-01,1284,09:00:00,10:15:00,01:15:00,Winter,Daily,75.0,2022,1,1000-1500km
 C8,Chennai Express,12604,Mumbai,Chennai ,2023-01-01,1284,09:00:00,10:15:00,01:15:00,Winter,Daily,75.0,2023,1,1000-1500km
 C9,Chennai Express,12604,Mumbai,Chennai ,2024-01-01,1284,09:00:00,09:05:00,00:05:00,Winter,Daily,5.0,2024,1,1000-1500km
 C10,Chennai Express,12604,Mumbai,Chennai ,2025-01-01,1284,09:00:00,09:40:00,00:40:00,Winter,Daily,40.0,2025,1,1000-1500km
G1,Garib Rath Express,12377, Kolkata, New Delhi,2016-01-01,1318,08:00:00,08:20:00,00:20:00,Winter, Tri-Weekly,20.0,2016,1,1000-1500km
G2,Garib Rath Express,12377, Kolkata, New Delhi,2017-01-01,1318,08:00:00,09:00:00,01:00:00,Winter, Tri-Weekly,60.0,2017,1,1000-1500km
G3,Garib Rath Express,12377, Kolkata, New Delhi,2018-01-01,1318,08:00:00,08:05:00,00:05:00,Winter, Tri-Weekly,5.0,2018,1,1000-1500km
G4,Garib Rath Express,12377, Kolkata, New Delhi,2019-01-01,1318,08:00:00,08:10:00,00:10:00,Winter, Tri-Weekly,10.0,2019,1,1000-1500km
G5,Garib Rath Express,12377, Kolkata, New Delhi,2020-01-01,1318,08:00:00,08:20:00,00:20:00,Winter, Tri-Weekly,20.0,2020,1,1000-1500km
G6,Garib Rath Express,12377, Kolkata, New Delhi,2021-01-01,1318,08:00:00,08:23:00,00:23:00,Winter, Tri-Weekly,23.0,2021,1,1000-1500km
G7,Garib Rath Express,12377, Kolkata, New Delhi,2022-01-01,1318,08:00:00,08:11:00,00:11:00,Winter, Tri-Weekly,11.0,2022,1,1000-1500km
G8,Garib Rath Express,12377, Kolkata, New Delhi,2023-01-01,1318,08:00:00,08:00:00,00:00:00,Winter, Tri-Weekly,0.0,2023,1,1000-1500km
G9,Garib Rath Express,12377, Kolkata, New Delhi,2024-01-01,1318,08:00:00,09:40:00,01:40:00,Winter, Tri-Weekly,100.0,2024,1,1000-1500km
G10,Garib Rath Express,12377, Kolkata, New Delhi,2025-01-01,1318,08:00:00,08:25:00,00:25:00,Winter, Tri-Weekly,25.0,2025,1,1000-1500km
S1,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2016-01-01,707,06:00:00,06:10:00,00:10:00,Winter,Daily,10.0,2016,1,500-1000km
S2,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2017-01-01,707,06:00:00,07:10:00,01:10:00,Winter,Daily,70.0,2017,1,500-1000km
S3,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2018-01-01,707,06:00:00,08:10:00,02:10:00,Winter,Daily,130.0,2018,1,500-1000km
S4,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2019-01-01,707,06:00:00,06:25:00,00:25:00,Winter,Daily,25.0,2019,1,500-1000km
S5,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2020-01-01,707,06:00:00,06:05:00,00:05:00,Winter,Daily,5.0,2020,1,500-1000km
S6,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2021-01-01,707,06:00:00,06:45:00,00:45:00,Winter,Daily,45.0,2021,1,500-1000km
S7,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2022-01-01,707,06:00:00,06:15:00,00:15:00,Winter,Daily,15.0,2022,1,500-1000km
S8,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2023-01-01,707,06:00:00,07:00:00,01:00:00,Winter,Daily,60.0,2023,1,500-1000km
S9,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2024-01-01,707,06:00:00,06:20:00,00:20:00,Winter,Daily,20.0,2024,1,500-1000km
S10,Shatabdi Express,12002, New Delhi,RANI KAMLAPATI ,2025-01-01,707,06:00:00,06:09:00,00:09:00,Winter,Daily,9.0,2025,1,500-1000km
L1,Lucknow Mail,12229,Lucknow, New Delhi,2016-01-01,491,10:00:00,10:01:00,00:01:00,Winter,Daily,1.0,2016,1,<500km
L2,Lucknow Mail,12229,Lucknow, New Delhi,2017-01-01,491,10:00:00,10:14:00,00:14:00,Winter,Daily,14.0,2017,1,<500km
L3,Lucknow Mail,12229,Lucknow, New Delhi,2018-01-01,491,10:00:00,10:45:00,00:45:00,Winter,Daily,45.0,2018,1,<500km
L4,Lucknow Mail,12229,Lucknow, New Delhi,2019-01-01,491,10:00:00,11:10:00,01:10:00,Winter,Daily,70.0,2019,1,<500km
L5,Lucknow Mail,12229,Lucknow, New Delhi,2020-01-01,491,10:00:00,10:05:00,00:05:00,Winter,Daily,5.0,2020,1,<500km
L6,Lucknow Mail,12229,Lucknow, New Delhi,2021-01-01,491,10:00:00,10:23:00,00:23:00,Winter,Daily,23.0,2021,1,<500km
L7,Lucknow Mail,12229,Lucknow, New Delhi,2022-01-01,491,10:00:00,10:14:00,00:14:00,Winter,Daily,14.0,2022,1,<500km
L8,Lucknow Mail,12229,Lucknow, New Delhi,2023-01-01,491,10:00:00,10:29:00,00:29:00,Winter,Daily,29.0,2023,1,<500km
L9,Lucknow Mail,12229,Lucknow, New Delhi,2024-01-01,491,10:00:00,10:20:00,00:20:00,Winter,Daily,20.0,2024,1,<500km
L10,Lucknow Mail,12229,Lucknow, New Delhi,2025-01-01,491,10:00:00,10:34:00,00:34:00,Winter,Daily,34.0,2025,1,<500km
K1,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2016-01-01,742,10:00:00,10:00:00,00:00:00,Winter,Daily,0.0,2016,1,500-1000km
K2,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2017-01-01,742,17:20:00,17:40:00,00:20:00,Winter,Daily,20.0,2017,1,500-1000km
K3,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2018-01-01,742,17:20:00,18:00:00,00:40:00,Winter,Daily,40.0,2018,1,500-1000km
K4,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2019-01-01,742,17:20:00,17:23:00,00:03:00,Winter,Daily,3.0,2019,1,500-1000km
K5,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2020-01-01,742,17:20:00,17:25:00,00:05:00,Winter,Daily,5.0,2020,1,500-1000km
K6,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2021-01-01,742,17:20:00,18:15:00,00:55:00,Winter,Daily,55.0,2021,1,500-1000km
K7,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2022-01-01,742,17:20:00,18:05:00,00:45:00,Winter,Daily,45.0,2022,1,500-1000km
K8,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2023-01-01,742,17:20:00,18:25:00,01:05:00,Winter,Daily,65.0,2023,1,500-1000km
K9,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2024-01-01,742,01-01-1900 17:20,17:20:00,00:00:00,Winter,Daily,0.0,2024,1,500-1000km
K10,Kanyakumari Express,12633,Chennai Egmore,Kanyakumari,2025-01-01,742,01-01-1900 17:20,17:59:00,00:39:00,Winter,Daily,39.0,2025,1,500-1000km
Y1,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2016-01-01,1915,04:30:00,05:00:00,00:30:00,Winter,Daily,30.0,2016,1,1500-2000km
Y2,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2017-01-01,1915,04:30:00,04:39:00,00:09:00,Winter,Daily,9.0,2017,1,1500-2000km
Y3,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2018-01-01,1915,04:30:00,04:44:00,00:14:00,Winter,Daily,14.0,2018,1,1500-2000km
Y4,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2019-01-01,1915,04:30:00,04:50:00,20-01-1900 00:20,Winter,Daily,,2019,1,1500-2000km
Y5,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2020-01-01,1915,04:30:00,04:31:00,00:01:00,Winter,Daily,1.0,2020,1,1500-2000km
Y6,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2021-01-01,1915,04:30:00,04:30:00,00:00:00,Winter,Daily,0.0,2021,1,1500-2000km
Y7,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2022-01-01,1915,04:30:00,04:50:00,00:20:00,Winter,Daily,20.0,2022,1,1500-2000km
Y8,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2023-01-01,1915,04:30:00,08:34:00,04:04:00,Winter,Daily,244.0,2023,1,1500-2000km
Y9,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2024-01-01,1915,04:30:00,07:38:00,03:08:00,Winter,Daily,188.0,2024,1,1500-2000km
Y10,Yesvantpur–Howrah Express,22832,Yesvantpur Jn,Howrah,2025-01-01,1915,04:30:00,05:30:00,01:00:00,Winter,Daily,60.0,2025,1,1500-2000km
D1,Vivek Express,15906,Dibrugarh,Kanyakumari,2016-01-01,4198,19:25:00,19:30:00,00:05:00,Winter,Weekly,5.0,2016,1,>2000km
D2,Vivek Express,15906,Dibrugarh,Kanyakumari,2017-01-01,4198,19:25:00,20:00:00,00:35:00,Winter,Weekly,35.0,2017,1,>2000km
D3,Vivek Express,15906,Dibrugarh,Kanyakumari,2018-01-01,4198,19:25:00,20:23:00,01:03:00,Winter,Weekly,63.0,2018,1,>2000km
D4,Vivek Express,15906,Dibrugarh,Kanyakumari,2019-01-01,4198,19:25:00,19:40:00,00:15:00,Winter,Weekly,15.0,2019,1,>2000km
D5,Vivek Express,15906,Dibrugarh,Kanyakumari,2020-01-01,4198,19:25:00,19:46:00,00:22:00,Winter,Weekly,22.0,2020,1,>2000km
D6,Vivek Express,15906,Dibrugarh,Kanyakumari,2021-02-01,4198,01-01-1900 19:25,19:25:00,00:00:00,Winter,Weekly,0.0,2021,2,>2000km
D7,Vivek Express,15906,Dibrugarh,Kanyakumari,2022-03-01,4198,01-01-1900 19:25,19:26:00,00:01:00,Winter,Weekly,1.0,2022,3,>2000km
D8,Vivek Express,15906,Dibrugarh,Kanyakumari,2023-04-01,4198,01-01-1900 19:25,19:34:00,00:09:00,Winter,Weekly,9.0,2023,4,>2000km
D9,Vivek Express,15906,Dibrugarh,Kanyakumari,2024-01-01,4198,01-01-1900 19:25,19:47:00,00:23:00,Winter,Weekly,23.0,2024,1,>2000km
D10,Vivek Express,15906,Dibrugarh,Kanyakumari,2025-01-01,4198,01-01-1900 19:25,19:56:00,00:31:00,Winter,Weekly,31.0,2025,1,>2000km
